Time,Symbol,Action,Price,SL,Lots,Desc,MagicNumber
2026-02-11 03:42:12,XAUUSD,LONG,2000.95,1995.95,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2002.82,1997.82,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2000.7,1995.7,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2003.76,1998.76,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2004.06,2009.06,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2002.88,1997.88,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2007.66,2002.66,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2010.17,2015.17,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2010.74,2015.74,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2015.07,2010.07,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2017.45,2022.45,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2015.95,2020.95,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2011.75,2006.75,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2015.97,2010.97,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2015.62,2010.62,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2015.24,2020.24,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2015.56,2010.56,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2019.28,2014.28,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2024.22,2019.22,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2024.83,2029.83,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2027.74,2032.74,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2032.57,2037.57,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2036.47,2031.47,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2032.33,2037.33,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2028.18,2023.18,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2027.42,2032.42,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2025.73,2020.73,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2021.0,2016.0,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2020.27,2025.27,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,SHORT,2022.75,2027.75,0.1,Dummy Trade for Stress Test,123456
2026-02-11 03:42:12,XAUUSD,LONG,2025.33,2020.33,0.1,Dummy Trade for Stress Test,123456
